payment_id,customer_id,amount,currency,payment_method,status,failure_reason,attempt_number,recovered,recovered_amount,recovery_action,recovery_time_hours,created_at
430a10fe-fbaf-472e-adaf-5ce7e9a2fb79,cust_1609,3751.2,INR,upi,success,,1,False,0.0,,,2026-07-12T08:33:54.239618
0cb8bbdd-4013-4c3a-982f-374daeb506e9,cust_1537,1068.98,INR,netbanking,success,,1,False,0.0,,,2026-06-13T03:02:54.239618
41283edb-ce92-479d-9967-6b85afbdf501,cust_1651,1753.9,INR,card,success,,1,False,0.0,,,2026-07-08T05:54:54.239618
388c9137-57ee-4133-8b84-b3b1aea2817a,cust_1863,2510.98,INR,upi,failed,insufficient_funds,1,False,0.0,,,2026-08-10T08:19:54.239618
8c88736e-49a6-47a5-9c25-d9bfeb2f7e8c,cust_1878,1782.05,INR,upi,failed,expired_card,1,True,1782.05,smart_dunning_sms,39.7,2026-08-16T01:51:54.239618
8b508227-16bd-48a6-b673-951b92c55816,cust_2027,5501.37,INR,card,success,,2,False,0.0,,,2026-07-27T06:10:54.239618
f6c59bff-fdce-401e-862a-d105247e5535,cust_535,2968.24,INR,card,success,,1,False,0.0,,,2026-08-05T18:43:54.239618
a3611fe3-00b6-46dd-88f5-36c77b8b0c3a,cust_199,5525.16,INR,wallet,failed,insufficient_funds,1,False,0.0,,,2026-06-06T03:14:54.239618
492692cc-6f5e-4ba2-8730-b793055b845e,cust_648,1839.04,INR,card,failed,bank_decline,1,False,0.0,,,2026-06-23T01:38:54.239618
c2d76b35-4c4f-4107-ade7-69e5eee25ef5,cust_1237,8046.16,INR,upi,success,,3,False,0.0,,,2026-08-03T05:38:54.239618
bcd7c7e2-635e-4ddc-9738-4e5f9a7e5737,cust_1477,2100.99,INR,card,success,,1,False,0.0,,,2026-06-19T17:15:54.239618
00c8ca1e-20e4-4e0f-be78-fe2fa9db9603,cust_213,1018.34,INR,card,success,,1,False,0.0,,,2026-06-25T23:09:54.239618
45811809-d886-4b50-a623-549558e1cc93,cust_1759,17319.5,INR,card,success,,1,False,0.0,,,2026-07-18T01:16:54.239618
b295d5cd-1be5-41f5-bda6-ab1777fd934d,cust_320,472.26,INR,netbanking,success,,1,False,0.0,,,2026-06-05T11:57:54.239618
250cde93-e802-428b-a87c-58e538eade9f,cust_34,1255.31,INR,wallet,failed,bank_decline,2,False,0.0,,,2026-07-13T02:13:54.239618
bfa1e8c6-21c2-4557-9c6e-551957da436d,cust_938,1388.08,INR,netbanking,success,,1,False,0.0,,,2026-07-03T04:11:54.239618
ac1a2da4-cbf4-4cb5-bd37-1268e611fec3,cust_1506,23329.54,INR,upi,failed,bank_decline,2,True,23329.54,human_agent_escalation,0.9,2026-06-16T18:31:54.239618
ec6079b9-1915-4725-85a0-b08eaa425a3e,cust_673,12408.95,INR,wallet,success,,1,False,0.0,,,2026-06-18T10:20:54.239618
f97a7fa1-31b6-48c5-9440-2514f56360a3,cust_1687,9363.13,INR,wallet,success,,1,False,0.0,,,2026-08-25T06:18:54.239618
3b304ba0-b77e-4b9a-817b-688745bc9d4e,cust_412,1812.4,INR,card,success,,1,False,0.0,,,2026-07-06T15:36:54.239618
53f50ab0-06ff-4f58-9042-b8061fff5ba4,cust_1759,21667.32,INR,card,failed,bank_decline,1,False,0.0,,,2026-06-12T07:42:54.239618
b7ad4976-783d-468f-b89d-d1d3ff3c0fb9,cust_2458,3399.95,INR,upi,success,,3,False,0.0,,,2026-08-20T18:07:54.239618
fc09ff85-57ed-49bf-bd43-3f8719e3846d,cust_1236,5881.32,INR,upi,success,,1,False,0.0,,,2026-07-10T07:27:54.239618
62c6e318-214b-4718-a39c-6290324104ab,cust_1211,2869.02,INR,upi,failed,authentication_failed,2,True,2869.02,delayed_retry,24.2,2026-06-26T10:30:54.239618
4647d056-248f-4557-8d10-f1926346970d,cust_2433,2334.33,INR,card,success,,2,False,0.0,,,2026-07-07T12:29:54.239618
a10e8aed-767a-4a5d-925a-1a7a3c8ad69f,cust_1297,1945.74,INR,netbanking,success,,2,False,0.0,,,2026-07-07T21:55:54.239618
94496bf1-3879-4e4b-845f-78f08243dee4,cust_2238,2020.95,INR,upi,failed,insufficient_funds,2,True,2020.95,send_payment_link,1.2,2026-08-13T18:33:54.239618
